               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.074537,            0.077714,            0.016145,             0.50837,             0.63247,             0.59265,             0.20662,            0.068205,            0.057433,           0.0073781,            0.009307,            0.009307,            0.009307
                  37,             0.06883,            0.072904,            0.015564,             0.35887,             0.66633,             0.50597,              0.2277,            0.074463,            0.061756,           0.0072938,           0.0092872,           0.0092872,           0.0092872
                  38,            0.074213,              0.0814,            0.017049,             0.48988,             0.61532,             0.61187,              0.2391,            0.065539,            0.067809,           0.0077106,           0.0092674,           0.0092674,           0.0092674
                  39,            0.067495,            0.073794,            0.014463,             0.51598,                0.74,             0.62884,             0.21256,            0.063485,             0.05675,           0.0074746,           0.0092476,           0.0092476,           0.0092476
                  40,            0.066352,            0.076894,             0.01514,             0.52797,             0.66318,             0.59608,             0.20633,             0.06027,            0.063759,            0.006733,           0.0092278,           0.0092278,           0.0092278
                  41,             0.06519,            0.068171,            0.014557,             0.43559,             0.54989,             0.55394,             0.17554,            0.064064,             0.05614,           0.0059332,            0.009208,            0.009208,            0.009208
                  42,            0.071335,             0.07453,             0.01374,             0.56848,             0.73281,             0.64944,             0.27328,            0.063382,            0.059283,           0.0055838,           0.0091882,           0.0091882,           0.0091882
                  43,            0.065092,            0.080809,            0.012415,             0.51311,             0.78033,             0.63863,             0.26361,            0.065815,            0.060137,           0.0051451,           0.0091684,           0.0091684,           0.0091684
                  44,            0.066493,            0.073192,            0.011993,             0.59278,             0.55975,             0.60689,             0.21001,            0.065313,             0.05765,           0.0050777,           0.0091486,           0.0091486,           0.0091486
                  45,            0.062575,            0.069427,             0.01112,             0.40149,             0.69462,             0.53933,             0.22158,            0.064353,            0.055823,           0.0050466,           0.0091288,           0.0091288,           0.0091288
                  46,             0.06942,            0.081748,            0.012359,             0.56012,             0.58201,             0.56955,              0.2525,            0.062652,            0.053026,           0.0050914,            0.009109,            0.009109,            0.009109
                  47,            0.065568,            0.079134,            0.012791,             0.55151,             0.70697,             0.71245,              0.3226,            0.063172,            0.063453,           0.0050712,           0.0090892,           0.0090892,           0.0090892
                  48,            0.066192,            0.084017,            0.011277,             0.68024,             0.72273,              0.7652,             0.29907,            0.059362,            0.058543,           0.0052646,           0.0090694,           0.0090694,           0.0090694
                  49,            0.063429,            0.075592,            0.011408,              0.6537,             0.70596,             0.72348,             0.31095,            0.060759,            0.055668,           0.0051816,           0.0090496,           0.0090496,           0.0090496
                  50,            0.062776,            0.078294,              0.0114,             0.65493,             0.72339,             0.74646,             0.31508,            0.058555,            0.058495,           0.0053276,           0.0090298,           0.0090298,           0.0090298
                  51,            0.063498,            0.075794,            0.011231,             0.62146,             0.67867,             0.70725,             0.28412,            0.059625,            0.055394,           0.0055351,             0.00901,             0.00901,             0.00901
                  52,            0.066243,            0.080258,            0.011304,             0.73944,              0.7679,             0.83757,             0.33221,            0.058388,            0.054615,            0.005522,           0.0089902,           0.0089902,           0.0089902
                  53,            0.060866,            0.082251,            0.010533,             0.66839,             0.77164,              0.7947,             0.30883,            0.055782,            0.065882,            0.005396,           0.0089704,           0.0089704,           0.0089704
                  54,            0.064058,            0.075553,            0.010531,             0.73532,             0.74361,             0.79059,             0.37526,            0.054958,             0.05326,           0.0053878,           0.0089506,           0.0089506,           0.0089506
                  55,            0.058319,            0.075839,           0.0085671,             0.57729,             0.83735,             0.81027,             0.30407,             0.05868,            0.063782,           0.0051426,           0.0089308,           0.0089308,           0.0089308
                  56,            0.062427,            0.080322,           0.0085894,             0.74617,             0.72293,             0.82866,             0.35351,            0.056803,            0.054137,           0.0050962,            0.008911,            0.008911,            0.008911
                  57,             0.06199,            0.085948,           0.0093866,             0.68692,             0.79576,             0.81812,             0.34608,            0.057199,            0.061936,            0.004907,           0.0088912,           0.0088912,           0.0088912
                  58,            0.059676,            0.070088,            0.011823,             0.69595,             0.80482,             0.80923,              0.4009,            0.052609,            0.054257,           0.0049518,           0.0088714,           0.0088714,           0.0088714
                  59,            0.060269,            0.081372,           0.0086696,             0.65283,             0.76428,             0.79501,              0.3861,            0.057445,             0.05764,           0.0045659,           0.0088516,           0.0088516,           0.0088516
                  60,            0.063874,            0.067133,           0.0097149,             0.76553,             0.77331,             0.81198,             0.34691,             0.05359,             0.05368,           0.0046659,           0.0088318,           0.0088318,           0.0088318
                  61,            0.057903,            0.073749,           0.0091035,             0.66416,             0.87642,             0.79728,             0.30277,            0.057804,             0.05789,           0.0046555,            0.008812,            0.008812,            0.008812
                  62,            0.064908,            0.072282,           0.0074451,             0.59831,             0.67229,             0.72464,              0.4001,            0.056944,            0.054672,           0.0048709,           0.0087922,           0.0087922,           0.0087922
                  63,            0.061271,            0.070255,           0.0089806,             0.69146,             0.73965,             0.78062,             0.39721,            0.053801,            0.052983,           0.0052242,           0.0087724,           0.0087724,           0.0087724
                  64,            0.062491,            0.070948,           0.0080708,             0.65364,             0.76515,             0.77088,             0.31009,            0.055523,            0.054589,           0.0054456,           0.0087526,           0.0087526,           0.0087526
                  65,            0.060076,             0.07681,           0.0088129,             0.76942,             0.79257,             0.82194,             0.48541,            0.050112,            0.054752,           0.0058856,           0.0087328,           0.0087328,           0.0087328
                  66,            0.057806,            0.073675,           0.0072293,             0.77316,             0.78856,             0.84144,             0.28757,             0.05622,            0.052171,           0.0058386,            0.008713,            0.008713,            0.008713
                  67,            0.060468,            0.075144,           0.0081995,             0.64774,             0.80331,              0.7405,             0.27156,            0.056708,             0.05223,           0.0048014,           0.0086932,           0.0086932,           0.0086932
                  68,             0.06144,            0.066068,           0.0093054,             0.70125,              0.7869,             0.83447,             0.47411,            0.051462,             0.05209,           0.0045113,           0.0086734,           0.0086734,           0.0086734
                  69,            0.058306,            0.070128,           0.0069991,             0.63594,             0.80358,             0.78382,              0.4399,            0.057891,            0.052435,           0.0041461,           0.0086536,           0.0086536,           0.0086536
                  70,            0.063947,            0.082558,           0.0076421,             0.76478,             0.70523,             0.82461,             0.37288,            0.057846,            0.051614,           0.0042365,           0.0086338,           0.0086338,           0.0086338
                  71,             0.05831,            0.064906,           0.0076916,             0.75801,             0.68726,             0.81976,             0.37239,            0.054886,            0.052853,           0.0044224,            0.008614,            0.008614,            0.008614
                  72,            0.059847,            0.077169,            0.006517,             0.65877,              0.7037,             0.69263,             0.31928,            0.057619,            0.051192,           0.0044333,           0.0085942,           0.0085942,           0.0085942
                  73,            0.061323,            0.078278,           0.0073942,             0.79968,             0.75463,             0.82668,             0.38165,            0.052987,            0.053263,           0.0045473,           0.0085744,           0.0085744,           0.0085744
                  74,             0.05837,             0.07322,           0.0077032,              0.7668,              0.7601,             0.84937,              0.3902,            0.049989,            0.052403,           0.0044854,           0.0085546,           0.0085546,           0.0085546
                  75,            0.059106,            0.072125,           0.0068115,             0.74379,             0.78334,             0.85496,             0.46026,            0.048734,            0.055136,           0.0043052,           0.0085348,           0.0085348,           0.0085348
                  76,            0.059101,            0.070406,           0.0069339,             0.76341,             0.76006,             0.84022,             0.37062,            0.054695,            0.052611,           0.0043099,            0.008515,            0.008515,            0.008515
                  77,             0.05883,             0.06165,           0.0073903,             0.80613,             0.76585,             0.82427,             0.27554,              0.0589,            0.054772,           0.0043501,           0.0084952,           0.0084952,           0.0084952
